untyCntrctNo,bsnsDivNm,dcsnCntrctNo,cntrctRefNo,cntrctNm,cmmnCntrctYn,lngtrmCtnuDivNm,cntrctCnclsDate,cntrctPrd,baseLawNm,totCntrctAmt,thtmCntrctAmt,grntymnyRate,cntrctInfoUrl,payDivNm,reqNo,ntceNo,cntrctInsttCd,cntrctInsttNm,cntrctInsttJrsdctnDivNm,cntrctInsttChrgDeptNm,cntrctInsttOfclNm,cntrctInsttOfclTelNo,cntrctInsttOfclFaxNo,dminsttList,corpList,cntrctDtlInfoUrl,crdtrNm,baseDtls,cntrctCnclsMthdNm,rgstDt,chgDt,dfrcmpnstRt,pubPrcrmntClsfcNo,pubPrcrmntClsfcNm,pubPrcrmntMidClsfcNm,pubPrcrmntLrgClsfcNm,cntrctDate,infoBizYn,_source_endpoint,_business_type,dminsttNm,cntrctAmt
R26TE14579149,물품,R26TA0181855400,R26TA0181855400,(소액수의)선체과 자산취득물품(선거계 고압세척기) 구매,N,신규,2026-05-06,26.05.06~26.08.05,국가계약법 (제26조제1항5호가3목),0,30964840,10,http://www.g2b.go.kr,직불,R26DC00198579,R26BK01477363,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,박규찬,051-419-2239,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^박규찬^0514192239],[1^주계약업체^단독^베스트유^이유나^대한민국^100^베스트유^^8152002320],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01818554&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업.소상공인 계약),수의계약,2026-05-06 13:21:32,,0.075,,,,,2026-05-06,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,30964840
R26TE14579507,물품,,R26TA0183025100,도어엔진용 U패킹 등 5종 구매,N,신규,,,지방계약법 (제25조제1항5호나목),0,9760000,5,http://www.g2b.go.kr,직불,,,B551542,부산교통공사,지방공기업,회계자산처,김예지,,,[1^B551542^부산교통공사^지방공기업^회계자산처^김예지^],[1^주계약업체^단독^한울기업^임주현^대한민국^100^한울기업^^4124100389],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01830251&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산교통공사사장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 13:30:14,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산교통공사,9760000
R26TE14579698,물품,,R26TA0183019100,동구국민체육문예센터 승강기 노후 부품 정비,N,신규,,,지방계약법 (제25조제1항5호나목),0,6061000,5,http://www.g2b.go.kr,직불,,,3270000,부산광역시 동구,지방자치단체,재무과,남수현,051-440-4144,,[1^3270000^부산광역시 동구^지방자치단체^재무과^남수현^0514404144],[1^주계약업체^단독^(주)한림기업^양재진^대한민국^100^(주)한림기업^^5148133445],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01830191&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시동구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 13:35:26,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 동구,6061000
R26TE14579845,물품,,R26TA0183078200,SMPS함 구매 [정관체육시설 축구장 스포츠조명 교체공사],N,신규,,,지방계약법 (제25조제1항5호나목),0,12000000,5,http://www.g2b.go.kr,직불,,,3400000,부산광역시 기장군,지방자치단체,재무과,윤성미,,,[1^3400000^부산광역시 기장군^지방자치단체^재무과^윤성미^],[1^주계약업체^단독^천광전업(주)^천광명^대한민국^100^천광전업(주)^^6218171640],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01830782&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기장군수,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 13:39:42,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 기장군,12000000
R26TE14579964,물품,R26TA0181209600,R26TA0181209600,2026년 검사실 시약 및 소모품 구입,N,신규,2026-05-06,,지방계약법 (제25조제1항5호라목),0,31319200,5,http://www.g2b.go.kr,직불,,R26BK01481191,3360024,부산광역시 강서구 보건소,지방자치단체,보건행정과,신진숙,,,[1^3360024^부산광역시 강서구 보건소^지방자치단체^보건행정과^신진숙^],[1^주계약업체^단독^주식회사 부영상사^정순연^대한민국^100^주식회사 부영상사^^6458800344],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01812096&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,강서구 보건소 재무관,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업 소상공인 계약),수의계약,2026-05-06 13:42:10,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 강서구 보건소,31319200
R26TE14580038,물품,,R26TA0183039600,라인데리아용 깊은홈볼베어링 등 5종 구매,N,신규,,,지방계약법 (제25조제1항5호나목),0,9669000,5,http://www.g2b.go.kr,직불,,,B551542,부산교통공사,지방공기업,회계자산처,김예지,,,[1^B551542^부산교통공사^지방공기업^회계자산처^김예지^],[1^주계약업체^단독^유선상사^정달화^대한민국^100^유선상사^^6054392618],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01830396&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산교통공사사장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 13:43:54,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산교통공사,9669000
R26TE14580295,물품,,R26TA0183091100,2026년 꽃피는 마을 에코 수영 프로젝트 가로등 걸이 화분 잡자재 구입,N,신규,,,지방계약법 (제25조제1항5호나목),0,10969000,10,http://www.g2b.go.kr,직불,,,3380000,부산광역시 수영구,지방자치단체,재무과,장지혜,,,[1^3380000^부산광역시 수영구^지방자치단체^재무과^장지혜^],[1^주계약업체^단독^그린토피아^이동규^대한민국^100^그린토피아^^4630901936],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01830911&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시수영구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 13:50:01,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 수영구,10969000
R26TE14580562,물품,R26TA0181442501,R26TA0181442501,2026년 수산종자 매입방류사업 전복 구입,N,신규,2026-05-06,,지방계약법 (제25조제1항5호라목),0,40000000,5,http://www.g2b.go.kr,직불,,R26BK01457422,3260000,부산광역시 서구,지방자치단체,서구청 재무과,김우진,051-240-4145,051-240-4149,[1^3260000^부산광역시 서구^지방자치단체^서구청 재무과^김우진^0512404145],[1^주계약업체^단독^화수분 전복마을^최연희^대한민국^100^화수분 전복마을^^6139121212],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01814425&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 서구청장,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업 소상공인 계약),수의계약,2026-05-06 13:55:12,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 서구,40000000
R26TE14580830,물품,,R25TA0085739902,2026학년도 부산중앙중학교 교복(생활복) 학교주관구매,N,신규,,,지방계약법 (제2조의2제1항1호),0,71430000,5,http://www.g2b.go.kr,직불,,R25BK01005329,7211196,부산광역시교육청 부산광역시해운대교육지원청 부산중앙중학교,교육기관,행정실,이윤경,,,[1^7211196^부산광역시교육청 부산광역시해운대교육지원청 부산중앙중학교^교육기관^행정실^이윤경^],[1^주계약업체^단독^엘리트(교복점)^전영주^대한민국^100^엘리트(교복점)^^6212141875],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00857399&ctrtChgOrd=02&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산중앙중학교,"[판로지원법 시행령] 소기업,소상공인제한",제한경쟁,2026-05-06 14:00:55,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시교육청 부산광역시해운대교육지원청 부산중앙중학교,71430000
R26TE14580865,물품,R26TA0182164000,R26TA0182164000,지소 원격감시제어시스템 재정비 사업,N,신규,2026-05-06,계약 후 240일 이내,지방계약법 (제25조제1항6호라5목),0,354000000,5,http://www.g2b.go.kr,대지급,R26DC00198054,R26BK01492749,1230130,조달청 부산지방조달청,국가기관,경영관리과,이재형,070-4056-6590,050-5730-1904,[1^6260099^부산광역시 상수도사업본부 시설관리사업소^지방자치단체^관리팀^류화수^0516694523],[1^주계약업체^단독^동영테크원 주식회사^정윤화^대한민국^100^동영테크원 주식회사^^6218117350],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01821640&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,대한민국정부부산지방조달청장,조달청우수제품,수의계약,2026-05-06 14:01:44,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 시설관리사업소,354000000
R26TE14581159,물품,,R25TA0092270001,"2026학년도 동주여자고등학교 신입생 체육복(동복, 하복) 학교주관구매",N,신규,,,지방계약법 (제2조의2제1항2호),0,12904000,10,http://www.g2b.go.kr,직불,,R25BK01025289,7150431,부산광역시교육청 동주여자고등학교,기타기관,행정실,유수진,051-240-3004,051-246-4097,[1^7150431^부산광역시교육청 동주여자고등학교^기타기관^행정실^유수진^0512403004],[1^주계약업체^단독^대한추리닝^김삼수^대한민국^100^대한추리닝^^6061716142],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00922700&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,동주여자고등학교장,"[판로지원법 시행령] 중기업,소기업,소상공인 제한",제한경쟁,2026-05-06 14:08:59,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시교육청 동주여자고등학교,12904000
R26TE14581261,물품,20240810C7602,20240810C7602,부산북항 재개발사업 배후도로(지하차도) 건설공사 지급자재(CCTV설비),N,신규,2025-12-01,2025.12.31.까지,국가계약법 (제21조제1항8호),0,364386720,5,http://www.g2b.go.kr,직불,,20240811626,B551220,부산항만공사,기타공공기관,,김지혜,051-999-3031,,[1^B551220^부산항만공사^기타공공기관^^김지혜^0519993031],[1^주계약업체^단독^(주)주영일렉트로닉^박창식^대한민국^100^(주)주영일렉트로닉^^1238180378],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240810C76_1&ctrtChgOrd=02&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산항만공사장,중소기업청장이 지정.고시한 제품,제한경쟁,2026-05-06 14:11:44,,0.075,,,,,2025-12-01,N,getCntrctInfoListThng,물품,부산항만공사,364386720
R26TE14581351,물품,,R26TA0183071300,금샘고등학교『2026학년도 1학기 실험실습재료 구매』수의계약 안내 공고,N,신규,,계약일로부터 30일이내,지방계약법 (제25조제1항5호라목),0,44778360,5,http://www.g2b.go.kr,직불,,R26BK01462811,7150738,부산광역시교육청 금샘고등학교,기타기관,행정실,정효진,051-540-0106,051-540-0107,[1^7150738^부산광역시교육청 금샘고등학교^기타기관^행정실^정효진^0515400106],[1^주계약업체^단독^무진물산^최건우^대한민국^100^무진물산^^4910103189],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01830713&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,금샘고등학교장,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업 소상공인 계약),수의계약,2026-05-06 14:14:07,,0.08,,,,,2026-05-08,N,getCntrctInfoListThng,물품,부산광역시교육청 금샘고등학교,44778360
R26TE14581429,물품,R26TA0183078200,R26TA0183078200,SMPS함 구매 [정관체육시설 축구장 스포츠조명 교체공사],N,신규,2026-05-06,,지방계약법 (제25조제1항5호나목),0,12000000,5,http://www.g2b.go.kr,직불,,,3400000,부산광역시 기장군,지방자치단체,재무과,윤성미,,,[1^3400000^부산광역시 기장군^지방자치단체^재무과^윤성미^],[1^주계약업체^단독^천광전업(주)^천광명^대한민국^100^천광전업(주)^^6218171640],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01830782&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,기장군수,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 14:15:52,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 기장군,12000000
R26TE14581443,물품,,R26TA0183123900,여성보호계 마약이용성범죄 대응체계 키트 구입,N,신규,,,국가계약법 (제26조제1항5호가2목),0,9365700,10,http://www.g2b.go.kr,직불,,,1811832,경찰청 부산광역시경찰청,국가기관,경무기획과 경리계,성지훈,051-899-2222,051-899-3333,[1^1811832^경찰청 부산광역시경찰청^국가기관^경무기획과 경리계^성지훈^0518992222],[1^주계약업체^단독^주식회사 필메디^이병환^대한민국^100^주식회사 필메디^^2838701487],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01831239&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산지방경찰청,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 14:16:19,,0.075,,,,,2026-05-06,N,getCntrctInfoListThng,물품,경찰청 부산광역시경찰청,9365700
R26TE14581466,물품,R26TA0182365300,R26TA0182365300,통영 1006함 등 5척 전기통신자재(신신펌프ASSY 등 26종)구매,N,신규,2026-04-30,2026.04.30~2026.05.09,국가계약법 (제26조제1항5호가2목),0,10218000,5,http://www.g2b.go.kr,직불,,,1532883,해양경찰청 해양경찰정비창 해양경찰부산정비창,국가기관,기획운영과,신원규,051-419-2317,051-419-2318,[1^1532883^해양경찰청 해양경찰정비창 해양경찰부산정비창^국가기관^기획운영과^신원규^0514192317],[1^주계약업체^단독^유원피팅^유경윤^대한민국^100^유원피팅^^2050718176],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01823653&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,해양경찰부산정비창,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 14:16:50,,0.075,,,,,2026-04-30,N,getCntrctInfoListThng,물품,해양경찰청 해양경찰정비창 해양경찰부산정비창,10218000
R26TE14581497,물품,,R26TA0183055700,유도플라즈마 분광광도계 구매,N,신규,,계약 후 90일 이내,지방계약법 (제26조제2항),0,161000000,5,http://www.g2b.go.kr,대지급,R26DC00182028,R26BK01495152,1230155,조달청 경남지방조달청,국가기관,,이기훈,070-4056-6754,050-5480-1756,[1^6260103^부산광역시 상수도사업본부 덕산정수사업소^지방자치단체^덕산정수사업소^이선우^0516694901],[1^주계약업체^단독^베이스테크 주식회사^이명석^대한민국^100^베이스테크 주식회사^^3258701326],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01830557&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,대한민국정부경남지방조달청장,경쟁입찰을 실시했으나 입찰자가 1인뿐인 경우 수의계약(행안부장관 고시기간),수의계약,2026-05-06 14:17:30,,0.08,,,,,2026-05-07,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 덕산정수사업소,161000000
R26TE14581862,물품,R26TA0182403400,R26TA0182403400,차체팀 30tom 천장크레인 권상장치 등 수선,N,신규,2026-05-06,,지방계약법 (제25조제1항5호나목),0,9460000,5,http://www.g2b.go.kr,직불,,,B551542,부산교통공사,지방공기업,회계자산처,유다예,,,[1^B551542^부산교통공사^지방공기업^회계자산처^유다예^],[1^주계약업체^단독^토성산업^양정희^대한민국^100^토성산업^^8973901174],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01824034&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산교통공사사장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 14:26:59,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산교통공사,9460000
R26TE14581905,물품,,R26TA0183086400,2026학년도 좌동초등학교 돌봄교실 및 병설유치원 방학 중 위탁급식(벌크식) 구매 ,N,신규,,,지방계약법 (제25조제1항5호라목),0,24147480,5,http://www.g2b.go.kr,직불,,R26BK01444145,7210081,부산광역시해운대교육청 좌동초등학교,교육기관,행정실,이해원,051-709-0804,051-701-4738,[1^7210081^부산광역시해운대교육청 좌동초등학교^교육기관^행정실^이해원^0517090804],[1^주계약업체^단독^채선당 도시락 부산보건대점^김주영^대한민국^100^채선당 도시락 부산보건대점^^2301302384],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01830864&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,좌동초등학교장,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업 소상공인 계약),수의계약,2026-05-06 14:27:51,,0.08,,,,,2026-05-08,N,getCntrctInfoListThng,물품,부산광역시해운대교육청 좌동초등학교,24147480
R26TE14582384,물품,R26TA0182754000,R26TA0182754000,2026년 나무심기 작업용 자재 구입,N,신규,2026-05-06,,지방계약법 (제25조제1항5호나목),0,1723700,5,http://www.g2b.go.kr,직불,,,3310000,부산광역시 남구,지방자치단체,재무과,이나라,051-607-4148,051-607-4149,[1^3310000^부산광역시 남구^지방자치단체^재무과^이나라^0516074148],[1^주계약업체^단독^더 푸른^백승용^대한민국^100^더 푸른^^6020666042],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01827540&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시남구청,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 14:39:06,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 남구,1723700
R26TE14582423,물품,,R26TA0183086400,2026학년도 좌동초등학교 돌봄교실 및 병설유치원 방학 중 위탁급식(벌크식) 구매 ,N,신규,,,지방계약법 (제25조제1항5호라목),0,24147480,5,http://www.g2b.go.kr,직불,,R26BK01444145,7210081,부산광역시해운대교육청 좌동초등학교,교육기관,행정실,이해원,051-709-0804,051-701-4738,[1^7210081^부산광역시해운대교육청 좌동초등학교^교육기관^행정실^이해원^0517090804],[1^주계약업체^단독^채선당 도시락 부산보건대점^김주영^대한민국^100^채선당 도시락 부산보건대점^^2301302384],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01830864&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,좌동초등학교장,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업 소상공인 계약),수의계약,2026-05-06 14:39:59,,0.08,,,,,2026-05-08,N,getCntrctInfoListThng,물품,부산광역시해운대교육청 좌동초등학교,24147480
R26TE14582433,물품,R25TA0085739902,R25TA0085739902,2026학년도 부산중앙중학교 교복(생활복) 학교주관구매,N,신규,2026-05-06,,지방계약법 (제2조의2제1항1호),0,71430000,5,http://www.g2b.go.kr,직불,,R25BK01005329,7211196,부산광역시교육청 부산광역시해운대교육지원청 부산중앙중학교,교육기관,행정실,이윤경,,,[1^7211196^부산광역시교육청 부산광역시해운대교육지원청 부산중앙중학교^교육기관^행정실^이윤경^],[1^주계약업체^단독^엘리트(교복점)^전영주^대한민국^100^엘리트(교복점)^^6212141875],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00857399&ctrtChgOrd=02&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산중앙중학교,"[판로지원법 시행령] 소기업,소상공인제한",제한경쟁,2026-05-06 14:40:16,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시교육청 부산광역시해운대교육지원청 부산중앙중학교,71430000
R26TE14582458,물품,,R26TA0181303100,2026년 상반기 분석시약 및 소모품 구매,N,신규,,,지방계약법 (제25조제1항5호라목),0,71508000,5,http://www.g2b.go.kr,직불,,R26BK01474482,B552625,부산환경공단,지방공기업,기획재정처,류성균,,,[1^B552625^부산환경공단^지방공기업^기획재정처^류성균^],[1^주계약업체^단독^주식회사 부영상사^정순연^대한민국^100^주식회사 부영상사^^6458800344],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01813031&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산환경공단이사장,추정가격 2천만원 초과 1억원 이하 물품·용역(소기업 소상공인 계약),수의계약,2026-05-06 14:40:56,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산환경공단,71508000
R26TE14582648,물품,,R26TA0183161000,중앙공원 미니파크골프장 조성공사 관급자재(관리창고 및 차양시설),N,신규,,,지방계약법 (제25조제1항5호나목),0,12707000,5,http://www.g2b.go.kr,직불,,,3250000,부산광역시 중구,지방자치단체,재무과,박애경,051-600-4142,051-600-4149,[1^3250000^부산광역시 중구^지방자치단체^재무과^박애경^0516004142],[1^주계약업체^단독^주식회사 지엔^박소영^대한민국^100^주식회사 지엔^^6118125421],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01831610&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시중구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 14:45:30,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 중구,12707000
R26TE14582788,물품,R25TA0092270001,R25TA0092270001,"2026학년도 동주여자고등학교 신입생 체육복(동복, 하복) 학교주관구매",N,신규,2026-05-06,,지방계약법 (제2조의2제1항2호),0,12904000,10,http://www.g2b.go.kr,직불,,R25BK01025289,7150431,부산광역시교육청 동주여자고등학교,기타기관,행정실,유수진,051-240-3004,051-246-4097,[1^7150431^부산광역시교육청 동주여자고등학교^기타기관^행정실^유수진^0512403004],[1^주계약업체^단독^대한추리닝^김삼수^대한민국^100^대한추리닝^^6061716142],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00922700&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,동주여자고등학교장,"[판로지원법 시행령] 중기업,소기업,소상공인 제한",제한경쟁,2026-05-06 14:49:35,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시교육청 동주여자고등학교,12904000
R26TE14905824,물품,,R26TA0186121700,역사 및 차량기지 냉난방기 구매설치(1차),N,신규,,,지방계약법 (제20조제1항6호),0,294844020,5,http://www.g2b.go.kr,직불,,R26BK01498296,B551542,부산교통공사,지방공기업,회계자산처,박미정,051-640-7248,051-640-7255,[1^B551542^부산교통공사^지방공기업^회계자산처^박미정^0516407248],[1^주계약업체^단독^(주)기륭공조시스템^이응종^대한민국^100^(주)기륭공조시스템^^6068606806],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01861217&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산교통공사사장,행정안전부령 금액 미만 본점소재지,제한경쟁,2026-05-14 08:26:13,,0.08,,,,,2026-05-14,N,getCntrctInfoListThng,물품,부산교통공사,294844020
R26TE14905864,물품,R25TA0073983302,R25TA0073983302,"2026학년도 사상고등학교 교복(동복,하복)학교주관구매 입찰 공고",N,신규,2026-05-14,,지방계약법 (제7조의2제2항1호),0,27580000,5,http://www.g2b.go.kr,직불,,R25BK00924906,7150425,부산광역시교육청 사상고등학교,교육기관,행정실,안나현,051-366-9603,051-366-9789,[1^7150425^부산광역시교육청 사상고등학교^교육기관^행정실^안나현^0513669603],[1^주계약업체^단독^아이비클럽학생복^김한필^대한민국^100^아이비클럽학생복^^6210141111],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00739833&ctrtChgOrd=02&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,사상고등학교장,"[판로지원법] 중기간경쟁제품 소기업 소상공인 제한경쟁, 공동사업",제한경쟁,2026-05-14 08:34:44,,0.08,,,,,2026-05-14,N,getCntrctInfoListThng,물품,부산광역시교육청 사상고등학교,27580000
R26TE14905872,물품,,R26TA0184468700,부경본부 스마트워크 와이파이 구매설치,N,신규,,60일,국가계약법 (제10조제1항),0,289922880,10,http://www.g2b.go.kr,직불,,R26BK01484010,Z013073,한국마사회 부산경남경마본부,공기업,부산총무팀,권은민,051-901-7131,051-901-7130,[1^Z013073^한국마사회 부산경남경마본부^공기업^부산총무팀^권은민^0519017131],[1^주계약업체^단독^(주)필텍시스템^윤득필^대한민국^100^(주)필텍시스템^^6078183946],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01844687&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,한국마사회 부산경남경마본부장,경쟁은 입찰의 방법으로 행함,일반경쟁,2026-05-14 08:36:27,,0.075,,,,,2026-05-14,N,getCntrctInfoListThng,물품,한국마사회 부산경남경마본부,289922880
R26TE14906046,물품,R26TA0185634800,R26TA0185634800,북항친수공원 접근성 개선을 위한 홍보물 제작 구매,N,신규,2026-05-14,계약체결일~2026.05.22.,지방계약법 (제25조제1항5호나목),0,100000,5,http://www.g2b.go.kr,직불,,,B552587,부산시설공단,지방공기업,재무회계팀,박정미,,,[1^B552587^부산시설공단^지방공기업^재무회계팀^박정미^],[1^주계약업체^단독^주식회사 오알스튜디오^김희중^대한민국^100^주식회사 오알스튜디오^^1658602731],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01856348&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산시설공단,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-14 08:55:26,,0.08,,,,,2026-05-14,N,getCntrctInfoListThng,물품,부산시설공단,100000
R26TE14906169,물품,R26TA0173174301,R26TA0173174301,열희석심박출량계 1SET 구입(설치),N,신규,2026-05-14,2026.04.15.~2026.10.12.,국가계약법 (제27조제1항),0,80000000,10,http://www.g2b.go.kr,직불,,,B550554,부산대학교병원,기타공공기관,물류관리팀,박보열,051-240-7121,051-240-7578,[1^B550554^부산대학교병원^기타공공기관^물류관리팀^박보열^0512407121],[1^주계약업체^단독^주식회사세현메디칼^김경준^대한민국^100^주식회사세현메디칼^^6078601124],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01731743&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산대학교병원장,재공고입찰등과 수의계약,수의계약,2026-05-14 09:03:20,,0.075,,,,,2026-05-14,N,getCntrctInfoListThng,물품,부산대학교병원,80000000
